"SourceFile","SourceLine","ElementName","RegisterCall"
"hud.c","1192","<dynamic-or-multiline>","hud_t * HUD_Register(char *name, char *var_alias, char *description, int flags, cactive_t min_state, int draw_order, hud_func_type draw_func, char *show, char *place, char *align_x, char *align_y, char *pos_x, char *pos_y, char *frame, char *frame_color, char *item_opacity, char *params, ...)"
"hud_groups.c","278","group7","HUD_Register( ""group7"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""left"", ""bottom"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group7"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
"hud_groups.c","290","group8","HUD_Register( ""group8"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""center"", ""bottom"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group8"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
"hud_groups.c","302","group9","HUD_Register( ""group9"", NULL, ""Group element."", HUD_NO_GROW, ca_disconnected, 0, SCR_HUD_Groups_Draw, ""0"", ""screen"", ""right"", ""bottom"", ""0"", ""0"", "".5"", ""0 0 0"", NULL, ""name"", ""group9"", ""width"", ""64"", ""height"", ""64"", ""picture"", """", ""pic_alpha"", ""1.0"", ""pic_scalemode"", ""0"", NULL );"
"hud_guns.c","358","gun","HUD_Register(""gun"", NULL, ""Part of your inventory - current weapon."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawGunCurrent, ""0"", ""ibar"", ""center"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""wide"", ""0"", ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", ""frame_hide"", ""0"", NULL);"
"hud_guns.c","367","gun2","HUD_Register(""gun2"", NULL, ""Part of your inventory - shotgun."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawGun2, ""1"", ""ibar"", ""left"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", ""frame_hide"", ""0"", NULL);"
"hud_guns.c","375","gun3","HUD_Register(""gun3"", NULL, ""Part of your inventory - super shotgun."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawGun3, ""1"", ""gun2"", ""after"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", ""frame_hide"", ""0"", NULL);"
"hud_guns.c","383","gun4","HUD_Register(""gun4"", NULL, ""Part of your inventory - nailgun."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawGun4, ""1"", ""gun3"", ""after"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", ""frame_hide"", ""0"", NULL);"
"hud_guns.c","391","gun5","HUD_Register(""gun5"", NULL, ""Part of your inventory - super nailgun."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawGun5, ""1"", ""gun4"", ""after"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", ""frame_hide"", ""0"", NULL);"
"hud_guns.c","399","gun6","HUD_Register(""gun6"", NULL, ""Part of your inventory - grenade launcher."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawGun6, ""1"", ""gun5"", ""after"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", ""frame_hide"", ""0"", NULL);"
"hud_guns.c","407","gun7","HUD_Register(""gun7"", NULL, ""Part of your inventory - rocket launcher."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawGun7, ""1"", ""gun6"", ""after"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", ""frame_hide"", ""0"", NULL);"
"hud_guns.c","415","gun8","HUD_Register(""gun8"", NULL, ""Part of your inventory - thunderbolt."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawGun8, ""1"", ""gun7"", ""after"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""wide"", ""0"", ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", ""frame_hide"", ""0"", NULL);"
"hud_health.c","119","bar_health","HUD_Register( ""bar_health"", NULL, ""Health bar."", HUD_PLUSMINUS, ca_active, 0, SCR_HUD_DrawBarHealth, ""0"", ""health"", ""right"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""height"", ""16"", ""width"", ""64"", ""direction"", ""0"", ""color_nohealth"", ""128 128 128 64"", ""color_normal"", ""32 64 128 128"", ""color_mega"", ""64 96 128 128"", ""color_twomega"", ""128 128 255 128"", ""color_unnatural"", ""255 255 255 128"", NULL );"
