"SourceFile","SourceLine","ElementName","RegisterCall"
"hud.c","1192","<dynamic-or-multiline>","hud_t * HUD_Register(char *name, char *var_alias, char *description, int flags, cactive_t min_state, int draw_order, hud_func_type draw_func, char *show, char *place, char *align_x, char *align_y, char *pos_x, char *pos_y, char *frame, char *frame_color, char *item_opacity, char *params, ...)"
"hud_performance.c","319","frametime","HUD_Register( ""frametime"", NULL, ""Shows your current frametime in ms."" ""This can also show the maximum frametime that occured in the last measured period."", HUD_PLUSMINUS, ca_active, 9, SCR_HUD_DrawFrameTime, ""0"", ""fps"", ""center"", ""after"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""show_max"", ""1"", ""style"", ""0"", ""title"", ""1"", ""scale"", ""1"", ""spike"", ""10"", ""proportional"", ""0"", NULL );"
"hud_performance.c","334","vidlag","HUD_Register( ""vidlag"", NULL, ""Shows the delay between the time a frame is rendered and the time it's displayed."", HUD_PLUSMINUS, ca_active, 9, SCR_HUD_DrawVidLag, ""0"", ""top"", ""right"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_performance.c","345","framestats","HUD_Register( ""framestats"", NULL, ""Shows information about the renderer's status & workload."", HUD_PLUSMINUS, ca_active, 0, FrameStats_DrawElement, ""0"", ""top"", ""left"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""scale"", ""1"", ""proportional"", ""0"", ""amfstats"", ""0"", NULL );"
"hud_qtv.c","87","qtv_buffer","HUD_Register( ""qtv_buffer"", NULL, ""QTV buffering status."", 0, ca_active, 0, SCR_HUD_DrawQTVBuffer, ""0"", ""screen"", ""left"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_radar.c","1422","radar","HUD_Register(""radar"", NULL, ""Plots the players on a picture of the map. (Only when watching MVD's or QTV)."", HUD_PLUSMINUS, ca_active, 0, SCR_HUD_DrawRadar, ""0"", ""top"", ""left"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""opacity"", ""0.5"", ""width"", ""30%"", ""height"", ""25%"", ""autosize"", ""0"", ""show_powerups"", ""1"", ""show_names"", ""0"", ""highlight_color"", ""yellow"", ""highlight"", ""0"", ""player_size"", ""10"", ""show_height"", ""1"", ""show_stats"", ""1"", ""fade_players"", ""1"", ""show_hold"", ""0"", ""weaponfilter"", ""gl rl lg"", ""itemfilter"", ""backpack quad pent armor mega"", ""otherfilter"", ""projectiles gibs explosions shotgun"", ""onlytp"", ""0"", ""scale"", ""1"", ""simpleitems"", ""1"", ""colornames"", ""0"", ""proportional"", ""0"", NULL);"
"hud_scores.c","786","score_team","HUD_Register( ""score_team"", NULL, ""Own scores or team scores."", 0, ca_active, 0, SCR_HUD_DrawScoresTeam, ""0"", ""screen"", ""left"", ""bottom"", ""0"", ""0"", ""0.5"", ""4 8 32"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""0"", ""colorize"", ""0"", ""proportional"", ""0"", NULL );"
"hud_scores.c","799","score_enemy","HUD_Register( ""score_enemy"", NULL, ""Scores of enemy or enemy team."", 0, ca_active, 0, SCR_HUD_DrawScoresEnemy, ""0"", ""score_team"", ""after"", ""bottom"", ""0"", ""0"", ""0.5"", ""32 4 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""0"", ""colorize"", ""0"", ""proportional"", ""0"", NULL );"
"hud_scores.c","812","score_difference","HUD_Register( ""score_difference"", NULL, ""Difference between teamscores and enemyscores."", 0, ca_active, 0, SCR_HUD_DrawScoresDifference, ""0"", ""score_enemy"", ""after"", ""bottom"", ""0"", ""0"", ""0.5"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""0"", ""colorize"", ""1"", ""proportional"", ""0"", NULL );"
"hud_scores.c","825","score_position","HUD_Register(""score_position"", NULL, ""Position on scoreboard."", 0, ca_active, 0, SCR_HUD_DrawScoresPosition, ""0"", ""score_difference"", ""after"", ""bottom"", ""0"", ""0"", ""0.5"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""0"", ""colorize"", ""1"", ""proportional"", ""0"", NULL );"
"hud_scores.c","837","score_bar","HUD_Register( ""score_bar"", NULL, ""Team, enemy, and difference scores together."", HUD_PLUSMINUS, ca_active, 0, SCR_HUD_DrawScoresBar, ""0"", ""screen"", ""center"", ""console"", ""0"", ""0"", ""0.5"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""format_small"", ""&c69f%T&r:%t &cf10%E&r:%e $[%D$]"", ""format_big"", ""%t:%e:%Z"", ""format_reversed_big"", """", ""format_reversed_small"", """", ""frag_length"", ""0"", ""proportional"", ""0"", NULL );"
"hud_scores.c","852","ownfrags","HUD_Register( ""ownfrags"" /* jeez someone give me a better name please */, NULL, ""Highlights your own frags"", 0, ca_active, 1, SCR_HUD_DrawOwnFrags, ""1"", ""screen"", ""center"", ""top"", ""0"", ""50"", ""0.2"", ""0 0 100"", NULL, /* ""color"", ""255 255 255"", */ ""timeout"", ""3"", ""scale"", ""1.5"", ""proportional"", ""0"", NULL );"
"hud_speed.c","679","speed","HUD_Register(""speed"", NULL, ""Shows your current running speed. It is measured over XY or XYZ axis depending on \'xyz\' property."", HUD_PLUSMINUS, ca_active, 7, SCR_HUD_DrawSpeed, ""0"", ""top"", ""center"", ""bottom"", ""0"", ""-5"", ""0"", ""0 0 0"", NULL, ""xyz"", ""0"", ""width"", ""160"", ""height"", ""15"", ""opacity"", ""1.0"", ""tick_spacing"", ""0.2"", ""color_stopped"", SPEED_STOPPED, ""color_normal"", SPEED_NORMAL, ""color_fast"", SPEED_FAST, ""color_fastest"", SPEED_FASTEST, ""color_insane"", SPEED_INSANE, ""vertical"", ""0"", ""vertical_text"", ""1"", ""text_align"", ""1"", ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_speed.c","702","speed2","HUD_Register(""speed2"", NULL, ""Shows your current running speed. It is measured over XY or XYZ axis depending on \'xyz\' property."", HUD_PLUSMINUS, ca_active, 7, SCR_HUD_DrawSpeed2, ""0"", ""top"", ""center"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""xyz"", ""0"", ""opacity"", ""1.0"", ""color_stopped"", SPEED_STOPPED, ""color_normal"", SPEED_NORMAL, ""color_fast"", SPEED_FAST, ""color_fastest"", SPEED_FASTEST, ""color_insane"", SPEED_INSANE, ""radius"", ""50.0"", ""wrapspeed"", ""500"", ""orientation"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_teaminfo.c","908","teaminfo","HUD_Register( ""teaminfo"", NULL, ""Show information about your team in short form."", 0, ca_active, 0, SCR_HUD_DrawTeamInfo, ""0"", """", ""right"", ""center"", ""0"", ""0"", ""0.2"", ""20 20 20"", NULL, ""layout"", ""%p%n $x10%l$x11 %a/%H %w"", ""align_right"", ""0"", ""loc_width"", ""5"", ""name_width"", ""6"", ""low_health"", ""25"", ""armor_style"", ""3"", ""weapon_style"", ""0"", ""show_ammo"", ""0"", ""show_countdown"", ""1"", ""show_enemies"", ""0"", ""show_self"", ""1"", ""show_headers"", ""1"", ""scale"", ""1"", ""powerup_style"", ""1"", ""flag_style"", ""1"", ""proportional"", ""0"", ""header_spacing"", ""1"", NULL );"
"hud_tracking.c","67","tracking","HUD_Register( ""tracking"", NULL, ""Shows the name of tracked player."", HUD_PLUSMINUS, ca_active, 9, SCR_HUD_DrawTracking, ""1"", ""face"", ""center"", ""before"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""format"", ""\xD4\xF2\xE1\xE3\xEB\xE9\xEE\xE7\xBA %t %n, \xCA\xD5\xCD\xD0 for next"", //""Tracking: team name, JUMP for next"", ""Tracking:"" and ""JUMP"" are brown. default: ""Tracking %t %n, [JUMP] for next"" ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"hud_weapon_stats.c","226","weaponstats","HUD_Register( ""weaponstats"", NULL, ""Weapon stats"", 0, ca_active, 0, SCR_HUD_WeaponStats, ""0"", ""screen"", ""center"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""format"", ""&c990sg&r:%2 &c099ssg&r:%3 &c900rl&r:#7 &c009lg&r:%8"", ""textalign"", ""center"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"r_rmain.c","769","netgraph","hud_netgraph = HUD_Register( ""netgraph"", /*""r_netgraph""*/ NULL, ""Shows your network conditions in graph-form. With netgraph you can monitor your latency (ping), packet loss and network errors."", HUD_PLUSMINUS | HUD_ON_SCORES, ca_onserver, 0, SCR_HUD_Netgraph, ""0"", ""top"", ""left"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""swap_x"", ""0"", ""swap_y"", ""0"", ""inframes"", ""0"", ""scale"", ""256"", ""ploss"", ""1"", ""width"", ""256"", ""height"", ""32"", ""lostscale"", ""1"", ""alpha"", ""1"", NULL );"
"stats_grid.c","1375","teamholdinfo","teamholdinfo = HUD_Register( ""teamholdinfo"", NULL, ""Shows which important items in the level that are being held by the teams."", HUD_PLUSMINUS, ca_active, 0, SCR_HUD_DrawTeamHoldInfo, ""0"", ""top"", ""left"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""opacity"", ""0.8"", ""width"", ""200"", ""height"", ""8"", ""onlytp"", ""0"", ""style"", ""1"", ""itemfilter"", ""quad ra ya ga mega pent rl quad"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
"stats_grid.c","1390","teamholdbar","teamholdbar = HUD_Register( ""teamholdbar"", NULL, ""Shows how much of the level (in percent) that is currently being held by either team."", HUD_PLUSMINUS, ca_active, 0, SCR_HUD_DrawTeamHoldBar, ""0"", ""top"", ""left"", ""bottom"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""opacity"", ""0.8"", ""width"", ""200"", ""height"", ""8"", ""vertical"", ""0"", ""vertical_text"", ""0"", ""show_text"", ""1"", ""onlytp"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
